learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
190000.0,2.189707,2.3176988763734698E-7,190000.0,90.70157894736842,80.88677323164193,190000.0,726008.0,285.0,176.0,176.0,6.0,0.0,0.0,1.0
200000.0,2.295502,2.52238139603287E-7,200000.0,90.81099999999999,81.11145548793807,200000.0,747856.0,290.0,180.0,180.0,6.0,0.0,0.0,1.0
210000.0,2.387781,2.702780277075039E-7,210000.0,90.92809523809524,81.3530248696853,210000.0,755672.0,294.0,182.0,182.0,6.0,0.0,0.0,1.0
220000.0,2.498704,2.927080888383918E-7,220000.0,91.05727272727273,81.62428567906747,220000.0,781648.0,310.0,193.0,193.0,6.0,0.0,0.0,1.0
230000.0,2.596686,3.1324302151385277E-7,230000.0,91.17347826086957,81.8702914698101,230000.0,810120.0,316.0,196.0,196.0,6.0,0.0,0.0,1.0
240000.0,2.710614,3.377977797844343E-7,240000.0,91.27416666666667,82.07533308006028,240000.0,833120.0,325.0,202.0,202.0,6.0,0.0,0.0,1.0
250000.0,2.839819,3.660187331731948E-7,250000.0,91.3588,82.25078980355507,250000.0,844296.0,333.0,206.0,206.0,6.0,0.0,0.0,1.0
260000.0,2.943703,3.8933773111758955E-7,260000.0,91.44807692307693,82.43560123618265,260000.0,867688.0,342.0,212.0,212.0,6.0,0.0,0.0,1.0
270000.0,3.054867,4.144006229419675E-7,270000.0,91.53444444444445,82.61554367195279,270000.0,871504.0,346.0,214.0,214.0,6.0,0.0,0.0,1.0
280000.0,3.160166,4.3879018727896937E-7,280000.0,91.59821428571429,82.74370278905788,280000.0,895328.0,352.0,217.0,217.0,6.0,0.0,0.0,1.0
290000.0,3.255222,4.6121663941898276E-7,290000.0,91.68724137931035,82.92820123535006,290000.0,911976.0,366.0,227.0,227.0,6.0,0.0,0.0,1.0
300000.0,3.350084,4.841592090597583E-7,300000.0,91.76633333333334,83.09165675636459,300000.0,934872.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
310000.0,3.450148,5.089855211248828E-7,310000.0,91.84387096774194,83.25238984501051,310000.0,959040.0,375.0,233.0,233.0,6.0,0.0,0.0,1.0
320000.0,3.55773,5.360923281539646E-7,320000.0,91.91968750000001,83.41042653293741,320000.0,973960.0,381.0,236.0,236.0,6.0,0.0,0.0,1.0
330000.0,3.670205,5.653991921059788E-7,330000.0,91.97424242424242,83.5241961012215,330000.0,1007200.0,398.0,249.0,249.0,6.0,0.0,0.0,1.0
340000.0,3.787931,5.974045836242537E-7,340000.0,92.02470588235295,83.6261673119775,340000.0,1050880.0,414.0,260.0,260.0,6.0,0.0,0.0,1.0
350000.0,3.904793,6.304143669021627E-7,350000.0,92.07942857142856,83.73823738862085,350000.0,1091872.0,425.0,267.0,267.0,6.0,0.0,0.0,1.0
360000.0,4.016967,6.628077833789091E-7,360000.0,92.14305555555555,83.87073424461043,360000.0,1116264.0,437.0,276.0,276.0,6.0,0.0,0.0,1.0
370000.0,4.162285,7.068954687255124E-7,370000.0,92.19783783783784,83.98485077153607,370000.0,1172736.0,456.0,290.0,290.0,7.0,0.0,0.0,1.0
380000.0,4.295866,7.483871387255689E-7,380000.0,92.25578947368422,84.10349937790384,380000.0,1200656.0,460.0,292.0,292.0,7.0,0.0,0.0,1.0
390000.0,4.422007,7.883729817407827E-7,390000.0,92.32512820512821,84.24377460970777,390000.0,1225328.0,476.0,303.0,303.0,7.0,0.0,0.0,1.0
400000.0,4.555983,8.323996571306554E-7,400000.0,92.38,84.35710847288723,400000.0,1270256.0,489.0,311.0,311.0,7.0,0.0,0.0,1.0
410000.0,4.698658,8.801489564797117E-7,410000.0,92.4209756097561,84.44108134526319,410000.0,1293664.0,503.0,318.0,318.0,7.0,0.0,0.0,1.0
420000.0,4.835783,9.271734519137277E-7,420000.0,92.47595238095239,84.55374797383726,420000.0,1325592.0,515.0,324.0,324.0,7.0,0.0,0.0,1.0
430000.0,4.967246,9.729152381068304E-7,430000.0,92.53418604651162,84.67279890770645,430000.0,1344968.0,523.0,328.0,328.0,7.0,0.0,0.0,1.0
440000.0,5.122764,1.0276064931911729E-6,440000.0,92.58931818181819,84.78459846692182,440000.0,1359376.0,531.0,332.0,332.0,7.0,0.0,0.0,1.0
450000.0,5.290932,1.088842995023976E-6,450000.0,92.64244444444445,84.89361594597347,450000.0,1407568.0,555.0,347.0,347.0,7.0,0.0,0.0,1.0
460000.0,5.434915,1.1422841702215375E-6,460000.0,92.69391304347826,84.99933189716606,460000.0,1434720.0,563.0,351.0,351.0,7.0,0.0,0.0,1.0
470000.0,5.579772,1.196798034962267E-6,470000.0,92.74723404255319,85.10840160099139,470000.0,1454688.0,571.0,355.0,355.0,7.0,0.0,0.0,1.0
480000.0,5.719316,1.2500035655891733E-6,480000.0,92.7975,85.2106509986569,480000.0,1473832.0,586.0,364.0,364.0,7.0,0.0,0.0,1.0
490000.0,5.862473,1.3055131289011078E-6,490000.0,92.85122448979591,85.32115909730152,490000.0,1498848.0,592.0,367.0,367.0,7.0,0.0,0.0,1.0
500000.0,6.010273,1.3634081928411296E-6,500000.0,92.8996,85.41943319649404,500000.0,1514152.0,598.0,370.0,370.0,7.0,0.0,0.0,1.0
510000.0,6.164906,1.424336658995599E-6,510000.0,92.95019607843138,85.52459028628697,510000.0,1523072.0,604.0,373.0,373.0,7.0,0.0,0.0,1.0
520000.0,6.31139,1.4825781252793972E-6,520000.0,92.99307692307693,85.6123904706714,520000.0,1536896.0,606.0,374.0,374.0,7.0,0.0,0.0,1.0
530000.0,6.45363,1.5400012056177692E-6,530000.0,93.04,85.70934344796754,530000.0,1560512.0,618.0,383.0,383.0,7.0,0.0,0.0,1.0
540000.0,6.59483,1.597604084691654E-6,540000.0,93.08722222222222,85.80627209209985,540000.0,1576928.0,624.0,386.0,386.0,7.0,0.0,0.0,1.0
550000.0,6.760011,1.6666026217656006E-6,550000.0,93.12127272727272,85.8777694073307,550000.0,1614664.0,641.0,396.0,396.0,7.0,0.0,0.0,1.0
560000.0,6.919202,1.7340772220699327E-6,560000.0,93.16107142857143,85.96022131405176,560000.0,1638416.0,657.0,407.0,407.0,7.0,0.0,0.0,1.0
570000.0,7.092991,1.8093111002403833E-6,570000.0,93.2059649122807,86.05277961383389,570000.0,1673376.0,661.0,409.0,409.0,7.0,0.0,0.0,1.0
